`Servicio Meteorol�gico Nacional
`Red: SMN
`Estaci�n: CUATROCIENEGAS
`Estado: Coahuila de Zaragoza
`Municipio: Cuatro Ci�negas
`Latitud (N): 27.00244444
`Longitud (O): -102.0727222
`Altitud: 556
`
Fecha Local,Fecha UTC,Direcci�n del Viento (grados),Direcci�n de r�faga (grados),Rapidez de viento (km/h),Rapidez de r�faga (km/h),Temperatura del Aire (�C),Humedad relativa (%),Presi�n Atmosf�rica (hpa),Precipitaci�n (mm),Radiaci�n Solar (W/m�),
2022-11-15 09:10:00,2022-11-15 15:10:00,110.0,133.0,24.7,41.7,12.8,32,938,0,377,
2022-11-15 09:00:00,2022-11-15 15:00:00,103.0,126.0,22.3,40.5,12.4,32,937.9,0,332,
2022-11-15 08:50:00,2022-11-15 14:50:00,111.0,112.0,22.8,38.9,12.2,33,937.9,0,295,
2022-11-15 08:40:00,2022-11-15 14:40:00,118.0,136.0,23.8,38.4,11.9,33,937.9,0,262,
2022-11-15 08:30:00,2022-11-15 14:30:00,133.0,154.0,20.4,32.2,11.6,34,937.9,0,208,
2022-11-15 08:20:00,2022-11-15 14:20:00,147.0,192.0,19.5,34.8,11.1,35,937.8,0,158,
2022-11-15 08:10:00,2022-11-15 14:10:00,138.0,161.0,20.5,32.7,11,35,937.8,0,174,
2022-11-15 08:00:00,2022-11-15 14:00:00,146.0,165.0,22.1,33.1,10.8,36,937.5,0,155,
2022-11-15 07:50:00,2022-11-15 13:50:00,132.0,145.0,24.8,36.4,10.6,36,937.4,0,125,
2022-11-15 07:40:00,2022-11-15 13:40:00,130.0,149.0,23.2,37.4,10.4,36,937.2,0,72,
2022-11-15 07:30:00,2022-11-15 13:30:00,134.0,164.0,21.6,33,10.2,37,937,0,39,
2022-11-15 07:20:00,2022-11-15 13:20:00,135.0,144.0,23.5,40.9,10.2,37,936.9,0,13,
2022-11-15 07:10:00,2022-11-15 13:10:00,129.0,137.0,25.9,43.5,10.3,36,936.7,0,4,
2022-11-15 07:00:00,2022-11-15 13:00:00,139.0,166.0,23,40.9,10.1,37,936.5,0,0,
2022-11-15 06:50:00,2022-11-15 12:50:00,142.0,170.0,22.7,38.9,10.1,37,936.3,0,0,
2022-11-15 06:40:00,2022-11-15 12:40:00,142.0,133.0,18.9,29.4,10.2,37,936.2,0,0,
2022-11-15 06:30:00,2022-11-15 12:30:00,136.0,142.0,21.4,31.4,10.2,37,936,0,0,
2022-11-15 06:20:00,2022-11-15 12:20:00,143.0,163.0,19.8,35.1,10,37,935.9,0,0,
2022-11-15 06:10:00,2022-11-15 12:10:00,146.0,149.0,21.4,38.6,10,38,935.7,0,0,
2022-11-15 06:00:00,2022-11-15 12:00:00,146.0,158.0,21.5,33.4,9.9,38,935.5,0,0,
2022-11-15 05:50:00,2022-11-15 11:50:00,138.0,139.0,21.3,35.4,10,37,935.4,0,0,
2022-11-15 05:40:00,2022-11-15 11:40:00,124.0,120.0,25,41.6,10.9,35,935.3,0,0,
2022-11-15 05:30:00,2022-11-15 11:30:00,120.0,136.0,29.5,43.7,10.9,35,935.2,0,0,
2022-11-15 05:20:00,2022-11-15 11:20:00,111.0,133.0,27.3,44.6,11,35,935,0,0,
2022-11-15 05:10:00,2022-11-15 11:10:00,117.0,128.0,27.8,47.9,11,35,935,0,0,
2022-11-15 05:00:00,2022-11-15 11:00:00,116.0,134.0,30.8,48.1,11.4,34,934.8,0,0,
2022-11-15 04:50:00,2022-11-15 10:50:00,112.0,112.0,30.3,43.4,11.6,33,934.8,0,0,
2022-11-15 04:40:00,2022-11-15 10:40:00,114.0,115.0,32.1,43.5,11.6,33,934.8,0,0,
2022-11-15 04:30:00,2022-11-15 10:30:00,115.0,115.0,32.6,47.4,11.6,33,934.7,0,0,
2022-11-15 04:20:00,2022-11-15 10:20:00,119.0,128.0,32.2,47.2,11.8,33,934.5,0,0,
2022-11-15 04:10:00,2022-11-15 10:10:00,119.0,120.0,33.9,50.6,11.8,33,934.4,0,0,
2022-11-15 04:00:00,2022-11-15 10:00:00,120.0,117.0,34.5,49.8,12.1,32,934.2,0,0,
2022-11-15 03:50:00,2022-11-15 09:50:00,114.0,124.0,36.1,52.4,12.5,32,934.1,0,0,
2022-11-15 03:40:00,2022-11-15 09:40:00,113.0,122.0,35.1,52.4,13,31,933.9,0,0,
2022-11-15 03:30:00,2022-11-15 09:30:00,111.0,117.0,37.9,52.4,13.2,31,933.9,0,0,
2022-11-15 03:20:00,2022-11-15 09:20:00,114.0,130.0,36.3,58.2,13,31,933.9,0,0,
2022-11-15 03:10:00,2022-11-15 09:10:00,114.0,125.0,37.9,54.8,13.1,31,933.8,0,0,
2022-11-15 03:00:00,2022-11-15 09:00:00,122.0,139.0,37,51,13,31,933.8,0,0,
2022-11-15 02:50:00,2022-11-15 08:50:00,123.0,128.0,38.2,57.3,13.6,31,933.6,0,0,
2022-11-15 02:40:00,2022-11-15 08:40:00,120.0,130.0,35.7,51.4,13.8,31,933.6,0,0,
2022-11-15 02:30:00,2022-11-15 08:30:00,118.0,126.0,37,53.4,14.1,30,933.7,0,0,
