`Servicio Meteorol�gico Nacional
`Red: SMN
`Estaci�n: OCAMPOSMN
`Estado: Coahuila de Zaragoza
`Municipio: M�zquiz
`Latitud (N): 28.82547222
`Longitud (O): -102.5251111
`Altitud: 1662.671
`
Fecha Local,Fecha UTC,Direcci�n del Viento (grados),Direcci�n de r�faga (grados),Rapidez de viento (km/h),Rapidez de r�faga (km/h),Temperatura del Aire (�C),Humedad relativa (%),Presi�n Atmosf�rica (hpa),Precipitaci�n (mm),Radiaci�n Solar (W/m�),
2022-11-15 08:50:00,2022-11-15 14:50:00,92.0,91.0,10.7,14.6,4.5,47,836.9,0,224,
2022-11-15 08:40:00,2022-11-15 14:40:00,95.0,95.0,10.6,15.2,4.5,47,836.8,0,167,
2022-11-15 08:30:00,2022-11-15 14:30:00,92.0,93.0,13.5,16.7,4.3,47,836.5,0,215,
2022-11-15 08:20:00,2022-11-15 14:20:00,87.0,91.0,12.7,15.8,3.9,49,836.5,0,174,
2022-11-15 08:10:00,2022-11-15 14:10:00,87.0,84.0,12.4,15.5,3.6,50,836.4,0,103,
2022-11-15 08:00:00,2022-11-15 14:00:00,91.0,98.0,12.9,15.6,3.7,50,836.3,0,88,
2022-11-15 07:50:00,2022-11-15 13:50:00,94.0,94.0,13.3,16.1,3.4,50,836.2,0,82,
2022-11-15 07:40:00,2022-11-15 13:40:00,97.0,100.0,14.9,17.8,3.3,51,836.1,0,30,
2022-11-15 07:30:00,2022-11-15 13:30:00,94.0,92.0,13.6,17.1,3.4,50,836,0,12,
2022-11-15 07:20:00,2022-11-15 13:20:00,89.0,91.0,14,18.8,3.5,49,835.9,0,5,
2022-11-15 07:10:00,2022-11-15 13:10:00,87.0,86.0,13.6,17.3,3.6,48,835.8,0,2,
2022-11-15 07:00:00,2022-11-15 13:00:00,87.0,89.0,13.8,17.7,3.9,47,835.6,0,0,
2022-11-15 06:50:00,2022-11-15 12:50:00,89.0,89.0,12.9,17.8,4.2,45,835.6,0,0,
2022-11-15 06:40:00,2022-11-15 12:40:00,92.0,94.0,13,16.2,4.5,44,835.5,0,0,
2022-11-15 06:30:00,2022-11-15 12:30:00,89.0,88.0,12.7,16.5,4.8,45,835.4,0,0,
2022-11-15 06:20:00,2022-11-15 12:20:00,88.0,89.0,12.5,15.5,5,45,835.4,0,0,
2022-11-15 06:10:00,2022-11-15 12:10:00,85.0,86.0,12.5,15.5,5.2,45,835.2,0,0,
2022-11-15 06:00:00,2022-11-15 12:00:00,79.0,79.0,11.9,15.5,5.3,46,835.1,0,0,
2022-11-15 05:50:00,2022-11-15 11:50:00,75.0,72.0,12.9,14.9,5.2,45,835.1,0,0,
2022-11-15 05:40:00,2022-11-15 11:40:00,72.0,70.0,12.8,14,5.3,44,835,0,0,
2022-11-15 05:30:00,2022-11-15 11:30:00,66.0,67.0,12.1,13.8,5.2,43,835,0,0,
2022-11-15 05:20:00,2022-11-15 11:20:00,64.0,60.0,10.9,14.2,5.4,43,835,0,0,
2022-11-15 05:10:00,2022-11-15 11:10:00,60.0,68.0,13,15.1,5.7,43,834.9,0,0,
2022-11-15 05:00:00,2022-11-15 11:00:00,68.0,68.0,13.9,15.9,5.7,42,834.8,0,0,
2022-11-15 04:50:00,2022-11-15 10:50:00,76.0,73.0,12.6,16.3,5.9,42,834.8,0,0,
2022-11-15 04:40:00,2022-11-15 10:40:00,77.0,75.0,11.9,15.2,6,41,834.9,0,0,
2022-11-15 04:30:00,2022-11-15 10:30:00,72.0,76.0,11.9,13.7,6,39,834.9,0,0,
2022-11-15 04:20:00,2022-11-15 10:20:00,72.0,73.0,10.3,12.2,6.3,41,834.8,0,0,
2022-11-15 04:10:00,2022-11-15 10:10:00,74.0,70.0,9.7,12.2,6.5,41,834.8,0,0,
2022-11-15 04:00:00,2022-11-15 10:00:00,79.0,86.0,10.1,11.6,6.5,42,834.8,0,0,
2022-11-15 03:50:00,2022-11-15 09:50:00,78.0,74.0,9.6,12.4,6.4,42,834.7,0,0,
2022-11-15 03:40:00,2022-11-15 09:40:00,81.0,76.0,10.2,11.4,6.3,38,834.6,0,0,
2022-11-15 03:30:00,2022-11-15 09:30:00,84.0,80.0,10.7,12.3,6.5,38,834.6,0,0,
2022-11-15 03:20:00,2022-11-15 09:20:00,86.0,94.0,9.3,13.3,6.7,37,834.6,0,0,
2022-11-15 03:10:00,2022-11-15 09:10:00,89.0,88.0,8.9,11.9,6.8,37,834.6,0,0,
2022-11-15 03:00:00,2022-11-15 09:00:00,91.0,96.0,10.2,13.7,6.7,37,834.6,0,0,
2022-11-15 02:50:00,2022-11-15 08:50:00,91.0,91.0,8.8,11.3,6.5,37,834.6,0,0,
2022-11-15 02:40:00,2022-11-15 08:40:00,90.0,78.0,8.7,11.1,6.5,37,834.7,0,0,
2022-11-15 02:30:00,2022-11-15 08:30:00,103.0,100.0,8.4,10.7,6.9,36,834.7,0,0,
2022-11-15 02:20:00,2022-11-15 08:20:00,102.0,97.0,9.4,12.8,6.5,37,834.6,0,0,
2022-11-15 02:10:00,2022-11-15 08:10:00,87.0,92.0,11.7,15.7,5.6,39,834.5,0,0,
2022-11-15 02:00:00,2022-11-15 08:00:00,97.0,95.0,11.6,14,5.9,39,834.4,0,0,
